english,name,type,dosage,disposition
DACLATASVIR / SOFOSBUVIR,سووداک,قرص,60 mg/400 mg,خوراکی 
ALBUMIN (HUMAN),آلبوسل,محلول,20 % 100 mL,تزریقی پرنترال
DICLOFENAC SODIUM,ولتادک,قرص,100 mg,پیوسته رهش خوراکی
DASATINIB,داسامد,قرص,100 mg,خوراکی 
CLOBETASOL PROPIONATE,کلوبتازول-بهوزان,کرم,0.05 % 15 g,موضعی 
ACETAMINOPHEN / CAFFEINE,استامینوفن/کافئین,قرص,500 mg/65 mg,خوراکی 
GABAPENTIN,گاباتین,کپسول,100 mg,خوراکی 
LENALIDOMIDE,مایلودک,کپسول,15 mg,خوراکی 
TAMSULOSIN HYDROCHLORIDE,امنیسین,کپسول,0.4 mg,پیوسته رهش خوراکی
CARBOPLATIN,کربوکسا,محلول,10 mg/1mL 5 mL,غلیظ تزریقی داخل وریدی
FUROSEMIDE,فوروزماید,محلول,40 mg/5mL 60 mL,خوراکی 
CICLOSPORIN,سیکلوفیل می,کپسول,50 mg,حاوی مایع خوراکی
ALENDRONATE (AS SODIUM),آلدنس,قرص,70 mg,جوشان خوراکی
CHLORPROMAZINE HYDROCHLORIDE,نورمازین,تزریقی,25 mg/1mL 2 mL,عضلانی 
CEFTRIAXONE (AS SODIUM),سفتریانا,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
PACLITAXEL,لیپکسول,تزریقی,6 mg/1mL 50 mg,پرنترال 
AMOXICILLIN,فاراموکس بی دی,پودر,400 mg/5 mL 70 mL,برای تهیه سوسپانسیون خوراکی
INSULIN DETEMIR,لومیرفلکس پن,محلول,100 [iU]/1mL 3 mL,تزریقی پرنترال
AZITHROMYCIN,زیتروبان,کپسول,500 mg,خوراکی 
MEGLUMINE COMPOUND,دی پی گرافین,تزریقی,66 %/10 % 20 mL,پرنترال 
GEMCITABINE (AS HYDROCHLORIDE),جم سیبان,پودر,200 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
SIMETHICONE (DIMETHICONE ACTIVATED),دی-گس,کپسول,125 mg,حاوی مایع خوراکی
METFORMIN HYDROCHLORIDE,رهامت,محلول,500 mg/5mL 250 mL,خوراکی 
ISOFLURANE,ایزیفران,اینهالر,100 % 100 mL,استنشاقی 
ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE,آدیژل-اس,قرص,200 mg/200 mg/25 mg,جویدنی خوراکی
VALGANCICLOVIR (AS HYDROCHLORIDE),سایتوبایوویر,قرص,450 mg,خوراکی 
MIRTAZAPINE,رپیزاپین,قرص,15 mg,خوراکی 
TEMOZOLOMIDE,تمزوسدال,پودر,100 mg mg,لئوفیلیزه برای تهیه محلول تزریقی داخل وریدی
METRONIDAZOLE,فلاژیکس,قرص,250 mg,خوراکی 
DEXTROSE / SODIUM CHLORIDE,دکستروز/سدیم کلراید,محلول,3.33 %/0.3 % 500 L,تزریقی داخل وریدی
FINGOLIMOD (AS HYDROCHLORIDE),نورابکس,کپسول,0.5 mg,خوراکی 
FAMOTIDINE,فاموتیدین-ثنامد,قرص,40 mg,خوراکی 
METHIMAZOLE,متی مازول,قرص,5 mg,خوراکی 
ALTEPLASE,اکتیلیز,پودر,50 mg mg,برای تهیه محلول تزریقی پرنترال
CLOBETASOL PROPIONATE,کلوبیتان,پماد,0.05 % 15 g,موضعی 
ELTROMBOPAG (AS OLAMINE),آرولید,قرص,25 mg,خوراکی 
CARBOPLATIN,کارپتین,محلول,10 mg/1mL 45 mL,غلیظ تزریقی داخل وریدی
SACUBITRIL / VALSARTAN,ساکوبیتریل / والزارتان,قرص,24 mg/26 mg,خوراکی 
LISDEXAMFETAMINE MESILATE,ویاس,کپسول,50 mg,خوراکی 
EPHEDRINE HYDROCHLORIDE,افدرین هیدروکلراید,قرص,30 mg,خوراکی 
METOPROLOL SUCCINATE,آنژیپول,قرص,95 mg,پیوسته رهش خوراکی
CLINDAMYCIN (AS PHOSPHATE),دالازان,محلول,10 mg/1mL 60 mL,موضعی 
SUMATRIPTAN (AS SUCCINATE),میگرستاپ,قرص,50 mg,خوراکی 
BISACODYL,بیزاکودیل-ناژو,شیاف,5 mg,مقعدی 
SODIUM CHLORIDE,رینوسالتین,"محلول،",0.65 % 20 mL,قطره از راه بینی
LORATADINE,لوراتادین-سبحان,قرص,10 mg,خوراکی 
AMLODIPINE (AS BESILATE),آملوبر,قرص,5 mg,خوراکی 
PROSTAGLANDIN E1 (ALPROSTADIL),آلپروستادیل آلتان,پودر,20 ug ug,برای تهیه محلول تزریقی پرنترال
ROPIVACAINE HYDROCHLORIDE,روپیواکائین,محلول,2 mg/1 mL 10 mg,تزریقی پرنترال
VALGANCICLOVIR (AS HYDROCHLORIDE),آوی گانسیک,قرص,450 mg,خوراکی 
IOHEXOL,امنی پک,تزریقی,300 mg/1mL 100 mL,پرنترال 
DICYCLOMINE HYDROCHLORIDE,دی سیکلومین هیدروکلراید,قرص,10 mg,خوراکی 
LOPERAMIDE HYDROCHLORIDE,لوپرامید نیکسادا,محلول,1 mg/5mL 60 mL,خوراکی 
CICLOSPORIN,کانیمونه ام ای,کپسول,100 mg,حاوی مایع خوراکی
METHYLPHENIDATE HYDROCHLORIDE,متیل فنیدیت ساندوز,قرص,18 mg,پیوسته رهش خوراکی
MIRTAZAPINE,میرتوزکس,قرص,30 mg,خوراکی 
BIPERIDEN HYDROCHLORIDE,نیموسکار,قرص,2 mg,خوراکی 
CICLOSPORIN,ساندیمون نئورال,کپسول,25 mg,حاوی مایع خوراکی
SODIUM CHLORIDE,سدیم کلراید,محلول,20 % 50 mL,تزریقی داخل وریدی
DICLOFENAC SODIUM,دیکلورن,قرص,100 mg,پیوسته رهش خوراکی
MERCAPTOPURINE,پورینتون,قرص,50 mg,خوراکی 
ANTIHEMORRHOID,هموروزان,پماد,50 mg/2.75 mg/35 mg/180 mg/1g 15 g,مقعدی 
PENTOXIFYLLINE,پنتافیل,قرص,400 mg,پیوسته رهش خوراکی
MUPIROCIN,موپیروسین بهسا,پماد,2 % 15 g,موضعی 
TOPIRAMATE,توپیرامات,قرص,100 mg,خوراکی 
LEVETIRACETAM,لوکین,قرص,750 mg,پیوسته رهش خوراکی
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,کارنوفن کامپاند,کپسول,325 mg/40 mg/200 mg,حاوی مایع خوراکی
ERYTHROMYCIN,اریتروماکس,قرص,400 mg,خوراکی 
METRONIDAZOLE,مترونیدازول,ژل,0.75 % 30 g,موضعی 
ONDANSETRON (AS HYDROCHLORIDE),اندانیل,تزریقی,2 mg/1 mL 2 mL,پرنترال 
CLOTRIMAZOLE,کلومازول,کرم,1 % 50 g,واژینال 
MAGNESIUM SULFATE,منیزیم سولفات,تزریقی,50 % 50 mL,پرنترال 
AZITHROMYCIN,بهزیترو,قرص,250 mg,خوراکی 
PREDNISOLONE,نیزوپرد,قرص,50 mg,خوراکی 
AZITHROMYCIN,زیتروکم,پودر,200 mg/5mL 30 mL,برای تهیه سوسپانسیون خوراکی
NAPHAZOLINE HYDROCHLORIDE,ناپریوین,"محلول،",0.1 % 10 mL,قطره چشمی
PREGABALIN,پرگابایوکس,کپسول,150 mg,خوراکی 
NYSTATIN,نیستات,پودر,100000 [iU]/1mL mL,برای تهیه سوسپانسیون خوراکی
CEFEPIME (AS HYDROCHLORIDE),سپیماکس,پودر,2 g g,برای تهیه محلول تزریقی پرنترال
MESALAZINE,آسافا,قرص,500 mg,انتریک کوتد خوراکی
LOSARTAN POTASSIUM,لوزارتان-شفا,قرص,25 mg,خوراکی 
BISACODYL,بیزاکس,شیاف,10 mg,مقعدی 
BISOPROLOL FUMARATE,بتالکو,قرص,2.5 mg,خوراکی 
EMPAGLIFLOZIN,جاردیپا,قرص,10 mg,خوراکی 
DESLORATADINE,بهنیتیس,قرص,5 mg,خوراکی 
TRIPLE SULFA,سولفاتیپل,کرم,3.42 %/2.86 %/3.7 % 78 g,واژینال 
PANTOPRAZOLE (AS SODIUM),پنتومید,پودر,40 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
DEXTROMETHORPHAN / PSEUDOEPHEDRINE,پزوفان,شربت,15 mg/30 mg/5mL 60 mL,خوراکی 
LEVETIRACETAM,لوسیژر,قرص,250 mg,خوراکی 
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,فلوسالمکس,آئروسل,25 ug/250 ug/1{dose} 120 {Puff},با دوز اندازه گیری شده استنشاقی
SIPONIMOD,سیپومید,قرص,2 mg,خوراکی 
REMIFENTANIL (AS HYDROCHLORIDE),رپاکسیر,پودر,1 mg mg,برای تهیه محلول تزریقی پرنترال
POTASSIUM CITRATE,سپی سیترا,قرص,10 meq,پیوسته رهش خوراکی
CLOPIDOGREL (AS BISULFATE),کلوپیسد,قرص,75 mg,خوراکی 
TICAGRELOR,بهتیگ,قرص,90 mg,خوراکی 
MONTELUKAST (AS SODIUM),دیلاکاست,گرانول,4 mg mg,خوراکی 
MILRINONE (AS LACTATE),میلرینون,محلول,1 mg/1mL 10 mg,تزریقی پرنترال
APIXABAN,لیکسیبان,قرص,5 mg,خوراکی 
ACICLOVIR,آسیکلوویر بهسا,,5 % 10 g,کرم موضعی
OSIMERTINIB (AS MESYLATE),اُسیزا,قرص,80 mg,خوراکی 
DESLORATADINE,دلونکس,قرص,5 mg,خوراکی 
PACLITAXEL,لیپکسول,تزریقی,6 mg/1mL 25 mg,پرنترال 
CELECOXIB,سلبرین,کپسول,200 mg,خوراکی 
IBUPROFEN,آری-پروفن,قرص,400 mg,خوراکی 
BUDESONIDE / FORMOTEROL FUMARATE,سیمبیکورت,پودر,160 ug/4.5 ug/1{dose} 120 {dose},با دوز اندازه گیری شده استنشاقی
BENZYDAMINE HYDROCHLORIDE,بنزیلاژین,دهانشویه,0.15 % 240 mL,جهت شستشو
TRIPTORELIN (AS ACETATE),واریوپپتیل,تزریقی,95.6 ug mL,پرنترال 
METHYLPREDNISOLONE ACETATE,دپو-مدرول,سوسپانسیون,40 mg/1mL 1 mg,تزریقی پرنترال
PACLITAXEL,الوپکس,تزریقی,6 mg/1mL 16.7 mg,پرنترال 
DIGESTIVE,اونانزیم,قرص,40 mg/6000 [iU]/10500 [iU]/600 [iU],انتریک کوتد خوراکی
LEVONORGESTREL,اووسیز,قرص,750 ug,خوراکی 
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,سرتاید دیسکوس,دیسک,50 ug/500 ug/1{dose} 60 {dose},استنشاقی 
DICLOFENAC DIETHYLAMMONIUM,دیکلوفناک-سبحان,ژل,1 % 60 g,موضعی 
CARVEDILOL,کارویلول,قرص,6.25 mg,خوراکی 
CEFTIZOXIME,سفتی زوکسیم,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
BISOPROLOL FUMARATE / HYDROCHLOROTHIAZIDE,زیکورد,قرص,5 mg/12.5 mg,خوراکی 
BECLOMETHASONE DIPROPIONATE,بکلورین,اسپری,50 ug/1 {dose} 200 mL,از راه بینی
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,سروفلوسینکروبرث,آئروسل,25 ug/250 ug/1{dose} 120 {dose},با دوز اندازه گیری شده استنشاقی
DEXAMETHASONE (AS DISODIUM PHOSPHATE),دگزاتی سین,تزریقی,4 mg/1mL 2 mL,پرنترال 
OXALIPLATIN,زالیکو,محلول,5 mg/1mL 20 mg,غلیظ تزریقی پرنترال
HYOSCINE-N-BUTYL BROMIDE,هیوسین-ان- بوتیل بروماید,تزریقی,20 mg/1mL mL,پرنترال 
PALBOCICLIB,پالبوکپ,کپسول,100 mg,خوراکی 
PALBOCICLIB,سُبرانس,کپسول,125 mg,خوراکی 
BETAINE,بتائین انهیدروس,پودر,1 g/1g 100 g,برای تهیه محلول خوراکی
IBUPROFEN,تدافن,کپسول,400 mg,حاوی مایع خوراکی
OXYMETHOLONE,اکسی متولون-الحاوی,قرص,50 mg,خوراکی 
OSELTAMIVIR (AS PHOSPHATE),مهبافلو,کپسول,75 mg,خوراکی 
BIMATOPROST,اکسیلیا,"محلول،",0.03 % 3 mL,قطره چشمی
RISDIPLAM,اورلیژن,پودر,0.75 mg/1mL 80 mg,برای تهیه محلول خوراکی
IBUPROFEN,کیماپرین,سوسپانسیون,40 mg/1mL 30 mL,خوراکی 
FLUVOXAMINE MALEATE,وکسیرل,قرص,100 mg,خوراکی 
RIMEGEPANT (AS SULFATE),رپیوا,قرص,75 mg,بازشونده در دهان خوراکی
URSODEOXYCHOLIC ACID,اورسوکولاسید,کپسول,300 mg,خوراکی 
LITHIUM CARBONATE,لیتیم کربنات,قرص,300 mg,خوراکی 
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE,لوزار-اچ,قرص,50 mg/12.5 mg,خوراکی 
LEVODOPA / CARBIDOPA FORTE,لدامت سی فورت,قرص,250 mg/25 mg,خوراکی 
GUAIFENESIN,موکوسین,شربت,100 mg/5mL 60 mL,خوراکی 
BRIVARACETAM,بریواستا,قرص,10 mg,خوراکی 
DAPAGLIFLOZIN (AS PROPANEDIOL),داپاگلوز,قرص,10 mg,خوراکی 
AZITHROMYCIN,زیترویت,قرص,500 mg,خوراکی 
LIDOCAINE HYDROCHLORIDE,لیدوکائین,ژل,2 % 15 g,موضعی 
PENICILLIN G BENZATHIN,پنی سیلین جی بنزاتین,پودر,1200000 [iU] [iU],برای تهیه فرآورده تزریقی پرنترال
DEFERASIROX,نانوجید,قرص,180 mg,خوراکی 
EDARAVONE,اداراوون,محلول,30 mg/100mL mL,تزریقی پرنترال
VENLAFAXINE,فلاکسور,قرص,37.5 mg,خوراکی 
PAPAVERINE HYDROCHLORIDE,پاپاورین واریو,تزریقی,40 mg/1mL 1 mL,پرنترال 
CALCIPOTRIOL / BETAMETHASONE DIPROPIONATE,ناژو-بت,پماد,0.005 %/0.064 % 30 g,موضعی 
ACTIVATED PROTHROMBIN COMPLEX (CONCENTRATED),فیبا,پودر,1000 [iU] [USP'U],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
SILDENAFIL (AS CITRATE),سیویا,قرص,100 mg,خوراکی 
SERTRALINE (AS HYDROCHLORIDE),زولامین,قرص,50 mg,خوراکی 
CARVEDILOL,کارودیلول,قرص,12.5 mg,خوراکی 
CARBAMAZEPINE,کاربارام,قرص,200 mg,خوراکی 
LIDOCAINE,بهدوکائین,اسپری,10 mg/1{dose} 20 mL,موضعی 
VALPROATE SODIUM,والپروات سدیم بهسا,,200 mg/5mL 120 mL,شربت خوراکی
RIVAROXABAN,زابیتا,قرص,15 mg,خوراکی 
EVEROLIMUS,فینوتا,قرص,10 mg,خوراکی 
DEFERASIROX,نانوجید,قرص,360 mg,خوراکی 
SODIUM CHLORIDE,ثاموسالین,محلول,7 % 4 mL,استنشاقی 
LEVODOPA / CARBIDOPA,لسیپک,قرص,100 mg/25 mg,خوراکی 
FIBRINOGEN,فیبریگا,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
TRANEXAMIC ACID,ترانگزامیک اسید,تزریقی,100 mg/1mL 5 mL,پرنترال 
VITAMIN A,آ- ویژل,کپسول,25000 [iU],حاوی مایع خوراکی
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,امت-دو,قرص,5 mg/500 mg,خوراکی 
ISOTRETINOIN,نورم اسکین,کپسول,20 mg,حاوی مایع خوراکی
APIXABAN,لپیکسا,قرص,5 mg,خوراکی 
MIRTAZAPINE,زامرون,قرص,30 mg,خوراکی 
PANCREATIN,ویتپانز,کپسول,) 25000 [iU] [iU],(پلت های انتریک کوتد خوراکی
EVEROLIMUS,رولیما,قرص,0.25 mg,خوراکی 
FEXOFENADINE HYDROCHLORIDE,فکسوتد,قرص,180 mg,خوراکی 
QUETIAPINE (AS FUMARATE),کوئپین ای آر,قرص,200 mg,پیوسته رهش خوراکی
ISOFLURANE,ایزوفلوران,اینهالر,100 % 100 mL,استنشاقی 
VALSARTAN,بلووان,قرص,80 mg,خوراکی 
TIZANIDINE,تیزاتد,قرص,4 mg,خوراکی 
CETIRIZINE HYDROCHLORIDE,ستیریزین نیکسادا,,1 mg/1mL 60 mL,شربت خوراکی
SUNITINIB (AS MALATE),سانیزا,کپسول,12.5 mg,خوراکی 
VINORELBINE (AS TARTRATE),وینوسدال,محلول,10 mg/1mL 1 mL,غلیظ تزریقی پرنترال
KETOTIFEN (AS FUMARATE),زادیکس,شربت,1 mg/5mL 120 mL,خوراکی 
ACETAMINOPHEN,تایلانول,"محلول،",100 mg/1mL 15 mL,قطره خوراکی
MEDROXYPROGESTERONE ACETATE,دپوجسترون,سوسپانسیون,150 mg/1mL 1 mL,تزریقی پرنترال
PIRACETAM,منتافد,مایع,33.33 % 120 mm,خوراکی 
OZANIMOD (AS HYDROCHLORIDE),ولوسیا,کپسول,0.46 mg,خوراکی 
QUETIAPINE (AS FUMARATE),کوئتیاپین - ثنامد,قرص,25 mg,خوراکی 
PEMETREXED (AS DISODIUM),الوپم,پودر,500 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
FERRIC CARBOXYMALTOSE,فریرایز,تزریقی,50 mg/1mL 2 mg,پرنترال 
MEBEVERINE HYDROCHLORIDE,مب اکتو,کپسول,200 mg,پیوسته رهش خوراکی
DEXTROSE / SODIUM CHLORIDE,انراکسو دی ان اس,محلول,3.33 %/0.3 % 500 mL,تزریقی داخل وریدی
RILUZOLE,ریلونورم,قرص,50 mg,خوراکی 
LOPERAMIDE HYDROCHLORIDE,لومیدکس,قرص,2 mg,خوراکی 
PIROXICAM,آلپکس,تزریقی,20 mg/1mL mL,پرنترال 
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,بهستافن,کپسول,325 mg/40 mg/200 mg,خوراکی 
OLANZAPINE,الانزاپین,قرص,5 mg,خوراکی 
SUNITINIB (AS MALATE),سورنال,کپسول,50 mg,خوراکی 
ONDANSETRON (AS HYDROCHLORIDE),اونسرون,قرص,4 mg,خوراکی 
LAMOTRIGINE,لاموبیوژین,قرص,100 mg,خوراکی 
DROSPIRENONE / ETHINYLESTRADIOL,دروسبلا,قرص,3 mg/0.02 mg,خوراکی 
COLISTIMETHATE SODIUM,کلیتکس,پودر,1000000 [iU] [iU],برای تهیه محلول تزریقی پرنترال
VINORELBINE (AS TARTRATE),وینوبین,کپسول,30 mg,حاوی مایع خوراکی
DEXTROMETHORPHAN / PSEUDOEPHEDRINE,دکسترومتورفان پی,شربت,15 mg/30 mg/5mL 60 mL,خوراکی 
NALTREXONE HYDROCHLORIDE,نالتروکسون,کپسول,50 mg,خوراکی 
DAPAGLIFLOZIN (AS PROPANEDIOL) / METFORMIN HYDROCHLORIDE,فاکسیبت پلاس,قرص,10 mg/500 mg,پیوسته رهش خوراکی
TRIAMTERENE / HYDROCHLOROTHIAZIDE,تریامترن-اچ,قرص,50 mg/25 mg,خوراکی 
ACETAMINOPHEN,استامینوفن سها,قرص,325 mg,خوراکی 
IBUPROFEN,هاموفن,کپسول,400 mg,حاوی مایع خوراکی
MELOXICAM,ملوکسیکام - حکیم,قرص,15 mg,خوراکی 
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),پنتومید,قرص,20 mg,انتریک کوتد خوراکی
AMINO ACID 5% (2),آمینوون 5%,محلول,500 mL,تزریقی داخل وریدی
FINGOLIMOD (AS HYDROCHLORIDE),فینگولید,کپسول,0.5 mg,خوراکی 
CEFTRIAXONE (AS SODIUM),سفتریاکسون,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
LEVOFLOXACIN,ریفکساسین,قرص,500 mg,خوراکی 
METHYLPHENIDATE HYDROCHLORIDE,متیل فنیدات ساندوز,قرص,18 mg,پیوسته رهش خوراکی
CARBAMAZEPINE,تگاتارد,سوسپانسیون,100 mg/5mL 250 mL,خوراکی 
CYPROTERONE COMPOUND,سیپروترون کامپاند,قرص,2 mg/0.035 mg,خوراکی 
GLYCINE,گلایسین,محلول,1.5 % 1000 mL,جهت شستشو
LAMOTRIGINE,لاموژین,قرص,50 mg,خوراکی 
NINTEDANIB ESILATE,نینتیب,کپسول,150 mg,حاوی مایع خوراکی
POLYETHYLENE GLYCOL - ELECTROLYTE 1,لاگزاپگ 1,پودر,13.87 g,برای تهیه محلول خوراکی
CEFEPIME (AS HYDROCHLORIDE),سپیماکس,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
CASPOFUNGIN ACETATE,کسپوفونژین نورمون,پودر,70 mg mg,برای تهیه محلول تزریقی پرنترال
DIMETHYL SULFOXIDE,ریمسو,محلول,50 % 50 %,پرنترال 
WATER,آب سترون برای تزریق,تزریقی,5 mL mL,پرنترال 
ACETYLSALICYLIC ACID / CLOPIDOGREL (AS BISULFATE),آسپاویکس,قرص,75 mg/75 mg,خوراکی 
VITAMIN A,ویتامین آ-ناژو,پماد,250 [iU]/1g 5 g,چشمی 
NAPROXEN,مداکسن,قرص,500 mg,انتریک کوتد خوراکی
DOXEPIN,دوپین,کپسول,10 mg,خوراکی 
LEVOFLOXACIN,لووفلوکساسین,محلول,5 mg/1mL 100 mL,تزریقی داخل وریدی
KETOCONAZOLE,کتوکونازول,قرص,200 mg,خوراکی 
CIPROFLOXACIN (AS HYDROCHLORIDE),فلومر,قرص,500 mg,خوراکی 
QUETIAPINE (AS FUMARATE),کوئنتیاکس,قرص,200 mg,خوراکی 
CELECOXIB,زلکاگز,کپسول,200 mg,خوراکی 
FERRIC CARBOXYMALTOSE,آیروجت,تزریقی,50 mg/1mL 10 mL,پرنترال 
ONDANSETRON (AS HYDROCHLORIDE),اندانسترون,محلول,4 mg/5mL 60 mL,خوراکی 
ROSUVASTATIN (AS CALCIUM),رزوواستاتین,قرص,5 mg,خوراکی 
NAPROXEN,ناپروکسن سها,قرص,500 mg,انتریک کوتد خوراکی
METFORMIN HYDROCHLORIDE / LINAGLIPTIN,لینفورتکس,قرص,500 mg/2.5 mg,خوراکی 
DICLOFENAC SODIUM,دیکلوفناک,شیاف,50 mg,مقعدی 
IBUPROFEN / METHOCARBAMOL,متوناپین,قرص,200 mg/500 mg,خوراکی 
SULFADIAZINE,سولفادیازین,قرص,500 mg,خوراکی 
PHENYLEPHRINE HYDROCHLORIDE,فنیل افرین,"محلول،",0.5 % 10 mL,قطره از راه بینی
MAGNESIUM SULFATE,منیزیم سولفات,تزریقی,20 % 50 mL,پرنترال 
MINOCYCLINE (AS HYDROCHLORIDE),ماینوبیوتیک,کپسول,50 mg,خوراکی 
VALPROATE SEMISODIUM,دیواپوکس,قرص,250 mg,انتریک کوتد خوراکی
CARBOPLATIN,کربوپلات,محلول,10 mg/1mL 15 mL,غلیظ تزریقی داخل وریدی
CLOTRIMAZOLE,کلوتریمازول بهسا,کرم,1 % 15 g,موضعی 
HEPATITIS B IMMUNE GLOBULIN,ایمونو اچ بی اس,تزریقی,334 [iU]/1mL 3 [iU],پرنترال 
TIMOLOL (AS MALEATE),تیموبایول,,0.5 % 5 mL,"محلول، قطره چشمی"
BUDESONIDE / FORMOTEROL FUMARATE,سیمبیکورت رپی هیلر,آئروسل,160 ug/4.5 ug/1{dose} 120 {dose},با دوز اندازه گیری شده استنشاقی
